Семантические категории 1-ого уровня;Семантические категории 2-ого уровня;Семантические категории 3-его уровня;Оценочное слово или словосочетание;Полярность;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выгодный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выгодный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;дешевый внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;дешёвый внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;дешевый дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;дешёвый дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;дизайн в ногу со временем;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;дизайн выше всяких похвал;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;достойный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;достойный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;замечательный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;замечательный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;идеальный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;идеальный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;изысканный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;изысканный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;интересный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;интересный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;какой-никакой внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;какой-никакой дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;качественный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;качественный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;класный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;класный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;классический внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;классический дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;классный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;классный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;клевый внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;клевый дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;компактный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;компактный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;компактный корпус;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;корпус заляпывается пальцами;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красавица;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красивая;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красиво выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красиво сделан;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красиво смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красивый аппарат;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красивый внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;красивый дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;лаконичный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;лаконичный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;легко царапаются;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;маркая;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;маркий корпус;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;модный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;модный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;насыщенный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;насыщенный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;неаккуратный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;неаккуратный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;неброский внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;неброский дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;ненавязчивый внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;ненавязчивый дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;необычный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;необычный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;неплохой внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;неплохой дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;несовременный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;несовременный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;никакой внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;никакой дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;новый внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;новый дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;облезают хромированные кнопки управления;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;обыкновенный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;обыкновенный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;оригинальный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;оригинальный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;остаются отпечатки пальцев;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;остаются следы на корпусе;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично вписалась в внешний вид кухни;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично вписалась в дизайн кухни;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично вписался в внешний вид кухни;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично вписался в дизайн кухни;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично вписывается в интерьер кухни;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично подошла в цвет кухни;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отлично смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отличный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отличный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отменный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отменный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;отпечатков пальцев не видно;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;пластик корпуса выглядит дешево;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;пластик корпуса смотрится дешево;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;поверхность легко пачкается;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;понравился внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;понравился дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;поцарапалась металлическая подставка под чашки;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;превосходный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;превосходный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;прекрасный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;прекрасный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;премиальный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;премиальный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;привлекательный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;привлекательный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;прикольный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;прикольный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;приличный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;приличный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;приятно выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;приятно смотреть;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;приятно смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;приятный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;приятный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;прогрессивный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;прогрессивный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;респектабельный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;респектабельный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;сексуально выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;сексуально смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;сильный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;сильный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;симпатичная;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;симпатично выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;симпатично смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;симпатичный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;симпатичный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;скромный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;скромный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;сложный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;сложный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится великолепно;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится дорого;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится здорово;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогая вещь;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогая кофемашина;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогая кофемашинка;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогая машина;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогая машинка;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогая модель;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогой агрегат;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогой аппарат;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится как дорогой прибор;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится клёво;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится красиво;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится потрясающе;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится приятно;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится старовато;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;смотрится стильно;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;собирает отпечатки пальцев;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;собирает пыль;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;современно выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;современно смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;современный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;современный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;солидно выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;солидно смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;солидный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;солидный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;специфичный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;специфичный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;спорный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;спорный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стандартный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стандартный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стёрся лейбл фирмы;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильная;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильная вещь;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильная кофеварка;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильно выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильно смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильный аппарат;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;стильный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;странный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;странный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;страшноватый внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;страшноватый дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;строгий внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;строгий дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;супер внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;супер дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;убогий внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;убогий дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;удачный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;удачный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;украшение кухни;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;универсальный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;универсальный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;ущербный внешний вид;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;ущербный дизайн;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;функциональный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;функциональный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;хай тек;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;хорош внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;хорош дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;хороший внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;хороший дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;хорошо вписывается в кухню;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;шикарный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;шикарный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;элегантная;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;элегантный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;элегантный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;элитный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;элитный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эргономичный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эргономичный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эстетичный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эстетичный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эффектно выглядит;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эффектно смотрится;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эффектный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;эффектный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;яркий внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;яркий дизайн;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;большая;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;большие размеры;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;великоваты габариты;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;великоваты размеры;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;габаритная;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;габариты устройства идеальны для любой кухни;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;громоздкая;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;громоздкий;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;занимает мало места;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;идеальна для маленькой кухни;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактна;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактная;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактная модель;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактнее;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактность;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактные габариты;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактные размеры;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактный ;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;компактный размер;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;комфортные габариты;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;комфортные размеры;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;легко помещается практически везде;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;маленькая;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;малогабаритная;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;малые габариты;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;малые размеры;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;малыш;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;малышка;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;малютка;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;массивная;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;место экономит;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;миниатюрная;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;минимальные габариты;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;небольшая;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;небольшие габаритные размеры;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;небольшой;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;небольшой размер;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;немаленькие габариты;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;немаленькие размеры;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;она компактного размера;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;отлично поместилась на моей кухне;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;поместится в любой уголок;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;прекрасно вмещается между кухонной тумбой и подвесным ящиком;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;размеры устройства идеальны для любой кухни;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;скромные размеры;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;солидные размеры;-;;;;;;;
объект оценки (кофемашина);конструкция;габариты;тонкая;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;удачно разместилась;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;удобный размер;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;уже чем старая;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;узенькая;+;;;;;;;
объект оценки (кофемашина);конструкция;габариты;узкая;+;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;быстро иссякает давление пара;-;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;быстрое образование пара;+;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;высокое давление;+;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;давление не соответствует указанному;-;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;давление недостаточно;-;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;давление пара маленькое;-;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;давления мало;-;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;заявленное давление далеко не соответствует реальному;-;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;мощная подача пара;+;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;не хватает давления;-;;;;;;;
объект оценки (кофемашина);конструкция;давление пара;хорошее давление;+;;;;;;;
объект оценки (кофемашина);конструкция;емкость для воды (резервуар для воды, бак для воды);бойлер маленького объема;-;;;;;;;
объект оценки (кофемашина);конструкция;емкость для воды (резервуар для воды, бак для воды);большая емкость ;+;;;;;;;
объект оценки (кофемашина);конструкция;емкость для воды (резервуар для воды, бак для воды);большой бак ;+;;;;;;;
объект оценки (кофемашина);конструкция;емкость для воды (резервуар для воды, бак для воды);большой бачок;+;;;;;;;
объект оценки (кофемашина);конструкция;емкость для воды (резервуар для воды, бак для воды);большой бойлер;+;;;;;;;
объект оценки (кофемашина);конструкция;емкость для воды (резервуар для воды, бак для воды);большой объем;+;;;;;;;
